Date,Expense Type,Vendor,City,Currency,Amount,Payment Mode,Time of Transaction,Remarks
29/03/2025,Cab/Ground Transportation,MegaCabs,Delhi,INR,903.16,,22:25,Payment Mode not mentioned
24/03/2025,Meal,Tata Starbucks Private Limited,New Delhi,null,814,Card,05:12 PM,Currency not mentioned
24/03/2025,Meal,Tata Starbucks Private Limited,New Delhi,INR,814,Card,05:12 PM,
24/03/2025,Meal,Tata Starbucks Private Limited,New Delhi,INR,814,Card,05:12 PM,"a,b"
25/03/2027,Meal,Bamey's Gastro Bar,Koramangala,INR,1795,null,10:36 PM,Payment Mode not specified
27/03/2025,Meal,Bamey's Gastro Bar,Bangalore,INR,1795,Card,10:36 PM,Payment Mode not specified
24/03/2025,Meal,Tata Starbucks Private Limited,New Delhi,INR,814,Card,05:12 PM,This is a cached response - For testing only
24/03/2025,Meal,Tata Starbucks Private Limited,New Delhi,INR,814,Card,05:12 PM,This is a cached response - For testing only
24/03/2025,Meal,Tata Starbucks Private Limited,New Delhi,INR,814,Card,05:12 PM,This is a cached response - For testing only
24/03/2025,Meal,Tata Starbucks Private Limited,New Delhi,INR,814,Card,05:12 PM,This is a cached response - For testing only
29/03/2025,Meal,Palm Meadows Resort - Cafe Palmyra,Bangalore,null,2851,null,null,Currency not specified. Payment mode not mentioned.
29/03/2025,Meal,"Cafe Palmyra, Palm Meadows Resort",Bangalore,INR,2851,Card,null,This is a test
